Time elapsed was 369158998ns or 0.369158998s,,0.369158998
Time elapsed was 354297989ns or 0.354297989s,,0.354297989
Time elapsed was 354550369ns or 0.354550369s,,0.354550369
Time elapsed was 364581800ns or 0.364581800s,,0.3645818
Time elapsed was 358676823ns or 0.358676823s,,0.358676823
Time elapsed was 361092236ns or 0.361092236s,,0.361092236
Time elapsed was 351630242ns or 0.351630242s,,0.351630242
Time elapsed was 351628165ns or 0.351628165s,,0.351628165
Time elapsed was 360382795ns or 0.360382795s,,0.360382795
Time elapsed was 356223579ns or 0.356223579s,,0.356223579
,,
,,
,SUM,3.582222996
,AVERAGE,0.3582222996
